# fieldmap
#x y z t Bx By Bz Ex Ey Ez
-520 -460 -100 0 0.146029 0.129179 -0.269123 0 0 0 
-520 -460 -90 0 0.135593 0.119947 -0.282628 0 0 0 
-520 -460 -80 0 0.124068 0.109753 -0.295459 0 0 0 
-520 -460 -70 0 0.111459 0.0985987 -0.307416 0 0 0 
-520 -460 -60 0 0.0977 0.086427 -0.318168 0 0 0 
-520 -460 -50 0 0.0830295 0.0734492 -0.327686 0 0 0 
-520 -460 -40 0 0.0675466 0.0597528 -0.335818 0 0 0 
-520 -460 -30 0 0.0513127 0.045392 -0.342254 0 0 0 
-520 -460 -20 0 0.0345133 0.030531 -0.346898 0 0 0 
-520 -460 -10 0 0.0173544 0.015352 -0.349787 0 0 0 
-520 -460 0 0 0 0 -0.350866 0 0 0 
-520 -460 10 0 -0.0173544 -0.015352 -0.349787 0 0 0 
-520 -460 20 0 -0.0345133 -0.030531 -0.346898 0 0 0 
-520 -460 30 0 -0.0513127 -0.045392 -0.342254 0 0 0 
-520 -460 40 0 -0.0675466 -0.0597528 -0.335818 0 0 0 
-520 -460 50 0 -0.0830295 -0.0734492 -0.327686 0 0 0 
-520 -460 60 0 -0.0977 -0.086427 -0.318168 0 0 0 
-520 -460 70 0 -0.111459 -0.0985987 -0.307416 0 0 0 
-520 -460 80 0 -0.124068 -0.109753 -0.295459 0 0 0 
-520 -460 90 0 -0.135593 -0.119947 -0.282628 0 0 0 
-520 -460 100 0 -0.146029 -0.129179 -0.269123 0 0 0 
-520 -450 -100 0 0.155967 0.134971 -0.277896 0 0 0 
-520 -450 -90 0 0.145019 0.125497 -0.292455 0 0 0 
-520 -450 -80 0 0.132866 0.11498 -0.30632 0 0 0 
-520 -450 -70 0 0.119508 0.10342 -0.319273 0 0 0 
-520 -450 -60 0 0.104865 0.0907486 -0.330948 0 0 0 
-520 -450 -50 0 0.0892021 0.0771941 -0.341303 0 0 0 
-520 -450 -40 0 0.0726269 0.0628502 -0.350162 0 0 0 
