# fieldmap
#x y z t Bx By Bz Ex Ey Ez
-520 -440 60 0 -0.270432 -0.0251824 -0.251529 0 0 0 
-520 -440 70 0 -0.276529 -0.0365876 -0.238308 0 0 0 
-520 -440 80 0 -0.281441 -0.0471291 -0.224747 0 0 0 
-520 -440 90 0 -0.285221 -0.0567894 -0.210989 0 0 0 
-520 -440 100 0 -0.287933 -0.0655661 -0.197166 0 0 0 
-520 -430 -100 0 -0.0338231 0.212339 -0.313752 0 0 0 
-520 -430 -90 0 -0.0515276 0.201536 -0.322907 0 0 0 
-520 -430 -80 0 -0.069769 0.189636 -0.330676 0 0 0 
-520 -430 -70 0 -0.0884058 0.176748 -0.336985 0 0 0 
-520 -430 -60 0 -0.107243 0.162889 -0.341584 0 0 0 
-520 -430 -50 0 -0.126076 0.148193 -0.344378 0 0 0 
-520 -430 -40 0 -0.144698 0.13281 -0.345305 0 0 0 
-520 -430 -30 0 -0.162903 0.116909 -0.344342 0 0 0 
-520 -430 -20 0 -0.180493 0.100666 -0.341504 0 0 0 
-520 -430 -10 0 -0.197196 0.0842683 -0.336752 0 0 0 
-520 -430 0 0 -0.2129 0.0679142 -0.330259 0 0 0 
-520 -430 10 0 -0.227522 0.0517694 -0.322199 0 0 0 
-520 -430 20 0 -0.241017 0.0359659 -0.31275 0 0 0 
-520 -430 30 0 -0.253209 0.0206658 -0.301999 0 0 0 
-520 -430 40 0 -0.264045 0.00599786 -0.290127 0 0 0 
-520 -430 50 0 -0.273497 -0.00793064 -0.277322 0 0 0 
-520 -430 60 0 -0.281565 -0.0210346 -0.263775 0 0 0 
-520 -430 70 0 -0.288273 -0.033251 -0.249669 0 0 0 
-520 -430 80 0 -0.293604 -0.0444943 -0.235183 0 0 0 
-520 -430 90 0 -0.297641 -0.0547519 -0.220494 0 0 0 
-520 -430 100 0 -0.300508 -0.0640554 -0.205751 0 0 0 
-520 -420 -100 0 -0.0240138 0.228376 -0.323808 0 0 0 
-520 -420 -90 0 -0.0428205 0.217668 -0.334284 0 0 0 
-520 -420 -80 0 -0.062312 0.205678 -0.343261 0 0 0 
-520 -420 -70 0 -0.0822983 0.192489 -0.350564 0 0 0 
-520 -420 -60 0 -0.102615 0.17829 -0.356202 0 0 0 
-520 -420 -50 0 -0.122985 0.163062 -0.359788 0 0 0 
-520 -420 -40 0 -0.143182 0.147021 -0.361326 0 0 0 
-520 -420 -30 0 -0.162977 0.130356 -0.360796 0 0 0 
-520 -420 -20 0 -0.182143 0.113261 -0.358205 0 0 0 
-520 -420 -10 0 -0.200469 0.0959387 -0.353607 0 0 0 
-520 -420 0 0 -0.217765 0.0785893 -0.347095 0 0 0 
-520 -420 10 0 -0.233869 0.0614075 -0.338798 0 0 0 
-520 -420 20 0 -0.248648 0.0445758 -0.328878 0 0 0 
-520 -420 30 0 -0.262005 0.0282593 -0.317518 0 0 0 
-520 -420 40 0 -0.273788 0.0126418 -0.304883 0 0 0 
-520 -420 50 0 -0.284096 -0.00220696 -0.291253 0 0 0 
-520 -420 60 0 -0.292877 -0.0161728 -0.27681 0 0 0 
-520 -420 70 0 -0.300158 -0.0291847 -0.261762 0 0 0 
-520 -420 80 0 -0.305988 -0.0411957 -0.246306 0 0 0 
-520 -420 90 0 -0.310436 -0.0521813 -0.230623 0 0 0 
-520 -420 100 0 -0.313584 -0.0621366 -0.21488 0 0 0 
-520 -410 -100 0 -0.0126191 0.245406 -0.333896 0 0 0 
-520 -410 -90 0 -0.0325711 0.234782 -0.345723 0 0 0 
-520 -410 -80 0 -0.0533615 0.222731 -0.355984 0 0 0 
